
Introduction to Logic,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/41/b6a930581b11e6b0cb5da5ab8b1947/klingon.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,Stanford University,Average User Rating 4.5See what learners said
Think Again I: How to Understand Arguments,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera.s3.amazonaws.com/topics/thinkagain/large-icon.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,Duke University,Average User Rating 4.6See what learners said
Introduction to HTML5,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/32/b88140502611e5bf374909c194f0db/introhtml_thumnail_1x1.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,University of Michigan,Average User Rating 4.7See what learners said
Build Your First Android App (Project-Centered Course),https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/10/d1cb90ad7d11e5b4492be109d39855/moocLogo.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,CentraleSupélec,Average User Rating 4.3See what learners said
Vital Signs: Understanding What the Body Is Telling Us,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/55/8d2e309e6811e3bf47177a6a987fca/Vital-Signs-1.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,University of Pennsylvania,Introduction to Programming with MATLAB,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/e1/bd0fa0c1db11e4877b0395f6fe543f/FinalLogo.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,Vanderbilt University,Average User Rating 4.8See what learners said
Convolutional Neural Networks,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/15/18ed707be211e78f7aa54856df8471/dlai-logo-final-minus-font-plus-white-backg.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,deeplearning.ai,
Calculus One,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-misc.s3.amazonaws.com/flex/calculus1.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,The Ohio State University,
Cryptography I,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera.s3.amazonaws.com/topics/crypto/large-icon.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,Stanford University,Average User Rating 4.8See what learners said
Writing in the Sciences,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/15/bfacf07ed011e7923c3da078b81428/images_course_image-stanford.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,Stanford University,Introduction to Programming with MATLAB,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/e1/bd0fa0c1db11e4877b0395f6fe543f/FinalLogo.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,Vanderbilt University,Average User Rating 4.8See what learners said
Convolutional Neural Networks,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/15/18ed707be211e78f7aa54856df8471/dlai-logo-final-minus-font-plus-white-backg.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF,,deeplearning.ai,
